2017	Canada	7	7.315999985	1.479204416
2017	Australia	10	7.28399992	1.484414935
2017	France	31	6.441999912	1.430923462
2017	Germany	16	6.951000214	1.487923384
2017	United Kingdom	19	6.714000225	1.44163394
2017	Japan	51	5.920000076	1.416915178
2017	United States	14	6.993000031	1.546259284
2017	Brazil	22	6.635000229	1.10735321
2018	Canada	7	7.328	1.33
2018	Australia	10	7.272	1.34
2018	France	23	6.489	1.293
2018	Germany	15	6.965	1.34
2018	United Kingdom	11	7.19	1.244
2018	Japan	54	5.915	1.294
2018	United States	18	6.886	1.398
2018	Brazil	28	6.419	0.986
2019	Canada	9	7.278	1.365
2019	Australia	11	7.228	1.372
2019	France	24	6.592	1.324
2019	Germany	17	6.985	1.373
2019	United Kingdom	15	7.054	1.333
2019	Japan	58	5.886	1.327
2019	United States	19	6.892	1.433
2019	Brazil	32	6.3	1.004
